well_number,wl_id,latitude,longitude
MORR_0052690,593495,45.8488,-119.693255
MORR_0052691,593496,45.8488,-119.693255
MORR_0052692,593497,45.8488,-119.693255
MORR_0052693,593498,45.8488,-119.693255
MORR_0052694,593500,45.8488,-119.693255
MORR_0052695,593501,45.8488,-119.693255
MORR_0052696,593502,45.8488,-119.693255
MORR_0052697,593503,45.8488,-119.693255
MORR_0052698,593504,45.8488,-119.693255
MORR_0052699,593505,45.8488,-119.693255
MORR_0052700,593506,45.8488,-119.693255
MORR_0052701,593507,45.8488,-119.693255
MORR_0052702,593508,45.8488,-119.693255
MORR_0052703,593509,45.8488,-119.693255
MORR_0052704,593510,45.8488,-119.693255
MORR_0052705,593511,45.8488,-119.693255
MORR_0052706,593512,45.8488,-119.693255
MORR_0052707,593513,45.8488,-119.693255
MORR_0052708,593514,45.8488,-119.693255
MORR_0052709,593963,45.84778056,-119.70090556
MORR_0052710,593964,45.84769167,-119.70069167
MORR_0052711,595884,45.8977941,-119.4655996
MORR_0052712,595886,45.882705,-119.5003469
MORR_0052713,596253,45.86421654,-119.65319359
MORR_0052714,596330,45.86068257,-119.65554857
MORR_0052715,597073,45.8488,-119.693255
MORR_0052716,597074,45.8488,-119.693255
MORR_0052717,597076,45.8488,-119.693255
MORR_0052718,597129,45.83098395,-119.68726254
MORR_0052722,597577,45.8488,-119.693255
MORR_0052723,597578,45.8488,-119.693255
MORR_0052724,597579,45.8488,-119.693255
MORR_0052725,597580,45.8488,-119.693255
MORR_0052726,597582,45.8488,-119.693255
MORR_0052727,597584,45.8488,-119.693255
MORR_0052728,597585,45.8488,-119.693255
MORR_0052729,597590,45.8488,-119.693255
MORR_0052730,597592,45.8488,-119.693255
MORR_0052731,597593,45.8488,-119.693255
MORR_0052732,597594,45.8488,-119.693255
MORR_0052733,597596,45.8488,-119.693255
MORR_0052734,597598,45.8488,-119.693255
MORR_0052735,598397,45.815325,-119.812082
MORR_0052736,598480,45.84447778,-119.68186111
MORR_0052737,598481,45.84436111,-119.68279167
MORR_0052738,598526,45.8488,-119.693255
MORR_0052739,598527,45.8488,-119.693255
MORR_0052740,598528,45.8488,-119.693255
MORR_0052741,598529,45.8488,-119.693255
MORR_0052742,598530,45.8488,-119.693255
MORR_0052743,598531,45.8488,-119.693255
MORR_0052744,598532,45.8488,-119.693255
MORR_0052745,598533,45.8488,-119.693255
MORR_0052746,598534,45.8488,-119.693255
MORR_0052747,598535,45.8488,-119.693255
MORR_0052748,598536,45.8488,-119.693255
MORR_0052749,598537,45.8488,-119.693255
MORR_0052750,598538,45.8488,-119.693255
MORR_0052751,598539,45.8488,-119.693255
MORR_0052752,598810,45.61141812,-119.72378349
MORR_0052755,599699,45.8355867,-119.5878967
MORR_0052756,599700,45.8355867,-119.5878967
MORR_0052757,599778,45.83315,-119.61933333
MORR_0052758,599779,45.83348889,-119.61926944
MORR_0052759,599782,45.83423333,-119.61883056
MORR_0052760,599783,45.83602778,-119.61909444
MORR_0052761,599784,45.83634167,-119.61947222
MORR_0052762,599810,45.836022,-119.61908
MORR_0052763,599837,45.84836396,-119.64628483
MORR_0052764,599841,45.852467,-119.664674
MORR_0052765,599911,45.83483056,-119.56298889
MORR_0052766,599912,45.83416111,-119.56920833
MORR_0052767,599913,45.83281389,-119.56910556
MORR_0052768,599914,45.83169444,-119.56900556
MORR_0052769,599915,45.83541944,-119.5675
MORR_0052770,599916,45.83550556,-119.57121667
MORR_0052771,599917,45.83379167,-119.57578333
MORR_0052772,599918,45.83510278,-119.58218611
MORR_0052773,599919,45.83358333,-119.57126667
MORR_0052774,599920,45.83165833,-119.57091389
MORR_0052775,599921,45.83409167,-119.56596944
MORR_0052776,599922,45.83167778,-119.5675
MORR_0052777,599923,45.83335556,-119.5675
MORR_0052778,599924,45.83276944,-119.5627
MORR_0052779,599925,45.832675,-119.56391111
MORR_0052780,599926,45.83550833,-119.56491389
MORR_0052781,599927,45.83418611,-119.561425
MORR_0052782,599928,45.83266667,-119.56099444
MORR_0052784,600217,45.86994813,-119.53463143
MORR_0052790,601137,45.61744435,-119.5339582
MORR_0052791,601233,45.81026,-119.442616
MORR_0052792,601234,45.809955,-119.44108
MORR_0052793,601235,45.80922,-119.44182
MORR_0052794,601236,45.808921,-119.44475
MORR_0052797,601271,45.61094444,-119.51820833
MORR_0052798,601272,45.62189444,-119.54703611
MORR_0052799,601378,45.61852778,-119.62164722
MORR_0052800,601379,45.62595833,-119.61294444
MORR_0052806,601424,45.71026111,-119.82439444
MORR_0052807,601426,45.71155,-119.82371111
MORR_0052808,601427,45.71339167,-119.82658333
MORR_0052809,601428,45.71244167,-119.82741667
MORR_0052810,601429,45.71474167,-119.82958611
MORR_0052811,601430,45.71188611,-119.82678333
MORR_0052812,601431,45.71091111,-119.82624444
MORR_0052813,601432,45.7115,-119.82740556
MORR_0052814,601501,45.8874623,-119.503472
MORR_0052817,601563,45.852604,-119.664721
MORR_0052818,601784,45.89085004,-119.53788897
MORR_0052819,601785,45.81572975,-119.71425629
MORR_0052820,601914,45.82524052,-119.64713538
MORR_0052822,602003,45.89870443,-119.5320498
MORR_0052884,602462,45.8221334,-119.7261138
MORR_0052885,602463,45.8168622,-119.7087804
MORR_0052886,602564,45.91030524,-119.55918885
MORR_0052887,602573,45.61997322,-119.60229015
MORR_0052888,602590,45.61988633,-119.60232572
MORR_0052889,602736,45.91042213,-119.55908905
MORR_0052899,604181,45.64480278,-119.61531111
MORR_0052902,604942,45.84778056,-119.70090556
MORR_0052903,605332,45.63108889,-119.59535556
MORR_0052904,605333,45.62227222,-119.58473889
MORR_0052905,605335,45.62141667,-119.56495
MORR_0052906,605336,45.61353333,-119.59623611
MORR_0052907,605337,45.61415278,-119.58540278
MORR_0052909,605339,45.61545556,-119.542625
MORR_0052910,605355,45.61353333,-119.59623611
MORR_0052911,605554,45.8260894,-119.6675776
MORR_0052912,605571,45.8830963,-119.4968847
MORR_0052913,605601,45.721688,-119.448743
MORR_0052914,605602,45.719388,-119.436428
MORR_0052915,605821,45.91288889,-119.55352222
MORR_0052925,606936,45.6907,-119.8356
